,name,geometry,probability
38,348518074,POINT (174305.2409089951 559446.4457367532),1.5863595197945046e-06
39,348518068,POINT (174469.4069176947 559382.044731468),0.0
40,393153144,POINT (196585.80890158223 376582.7646461388),0.0
41,393153018,POINT (196609.80489569742 376583.3496455668),8.927541743700246e-06
42,394347136,POINT (197253.9078790021 473841.20422434184),0.00023323063972704986
43,394347165,POINT (197235.05188524004 473938.0152251282),2.152060991561989e-05
44,362161044,POINT (181498.35864277813 380916.3690337768),6.1556477155310375e-06
45,363161049,POINT (181557.13763692355 380912.8730322291),7.567444182590837e-05
46,83225062,POINT (41712.972222512115 412780.66034282796),5.017982038327071e-06
47,83225063,POINT (41682.19226239875 412773.83834409324),5.302742370065682e-07
48,404169104,POINT (202162.87910555996 385134.5715423794),3.191691055884764e-05
49,404170012,POINT (202201.65808383882 385017.8385409809),6.7738384767087934e-06
50,389153028,POINT (194805.80932946273 376682.7646890594),0.0
51,392153047,POINT (196071.16603144936 376643.70465855615),5.942443365506244e-05
52,491454094,POINT (245897.45696613388 527106.8552096165),0.0
53,492454028,POINT (246264.177404649 527305.9401919366),5.472092038829456e-06
54,345366091,POINT (172583.81572888457 483233.7660253213),0.0
55,345366119,POINT (172757.47973628694 483419.3440202686),2.627750739835861e-05
56,365066150,POINT (182816.999277045 333111.262474561),4.2022945009185744e-05
57,365066149,POINT (182967.80927022334 333492.7654594597),0.0
58,122216020,POINT (61337.02462944938 408222.6114905057),1.8538541208276875e-05
59,123216016,POINT (61968.83900289264 408479.76946556044),1.0967508803550434e-05
60,409538193,POINT (204691.2455815634 569417.5215819197),7.643523260130232e-06
61,409538138,POINT (204729.44959692503 569389.4895806322),1.4651016142388898e-05
62,294353022,POINT (147311.78252033357 476987.6398096388),9.114443836866998e-07
63,294353053,POINT (147319.32852053177 476995.108809431),3.469317494719329e-05
64,458480056,POINT (229019.0195767413 540137.3038037645),4.889810951448706e-05
65,458481034,POINT (229293.1799354131 540686.2067883505),1.831384388613293e-05
66,357017082,POINT (178468.61685316704 308751.77866327495),3.4209013843202345e-05
67,357017094,POINT (178542.2158455633 308805.15165772394),3.640895083128668e-06
68,399029083,POINT (199792.6650930262 314699.75066172436),9.547534628781025e-06
69,399029124,POINT (199914.7170212149 314512.67966667574),0.0
70,422393002,POINT (211235.81950002367 496873.76475424686),1.1250083320981184e-06
71,423392013,POINT (211518.71550191572 496489.18374586676),2.0089167253818297e-06
72,379220003,POINT (190029.3362168613 410358.4010070603),1.1077978569787418e-05
73,380220037,POINT (190030.70321648123 410354.31400698685),1.167857252356162e-05
74,399335047,POINT (199803.8154814559 467714.7651312967),7.38787030479582e-05
75,400335015,POINT (200254.09650638848 467933.7791183416),0.0
76,424155090,POINT (212289.67853870062 377740.5232910318),7.2302656813294615e-06
77,425155042,POINT (212718.46231086977 377531.7842812124),0.0
78,360460003,POINT (180495.19649199158 530468.6096927713),1.0672031969971442e-05
79,240213216,POINT (120055.62591393928 406706.1581416037),4.578307843280708e-05
80,240213155,POINT (120068.96191137179 406587.90514002816),0.00012719327050359972
81,334324107,POINT (167043.4630822589 462078.1761012833),1.1000535081817916e-05
82,334324047,POINT (167126.81509342798 462458.76610116166),1.6415916817679986e-05
83,401281032,POINT (200465.08126636 440780.07398171216),6.740369086985833e-05
84,402280012,POINT (201043.47019557963 440490.63596431055),5.777570910644037e-05
85,401403047,POINT (200747.15330913218 501934.25909845356),0.00021137423730733653
86,401403053,POINT (200795.21031820797 501961.88109672215),8.420877205930549e-05
87,343135074,POINT (171556.77680588452 367781.5622966531),8.64278726257308e-05
88,343135076,POINT (171611.5978013222 367726.97029526765),2.3891730987040445e-05
89,190191086,POINT (95210.01044042516 395722.7369982575),4.329526722254417e-05
90,191191098,POINT (95939.59612554187 395947.04797092546),4.5151113010098806e-05
91,317159040,POINT (158986.60548897044 379542.82666129235),0.0001844431025889613
92,318159028,POINT (159022.0264886288 379538.77266022144),5.452630788824346e-05
93,313324102,POINT (156742.16009208452 462106.0254242247),1.0897532161793243e-05
94,313324088,POINT (156783.9160946427 462197.5954235275),0.00011571684690957813
95,113214021,POINT (56904.84392085351 407340.76967219723),6.806624623718498e-07
